scenario;environment;levy;flood;seed;destination_region;node_type;requested;fulfilled;unmet;fulfillment_rate;occupancy_person_hours
13_levy_off_flood_both;13;False;both;0;Rio Branco;pharmacy;31408.0;31408.0;0.0;1.0;31408.0
13_levy_off_flood_both;13;False;both;0;Rio Branco;restaurant;125680.0;125680.0;0.0;1.0;125680.0
13_levy_off_flood_both;13;False;both;0;Santa Cecília;marketplace;37120.0;37120.0;0.0;1.0;37120.0
13_levy_off_flood_both;13;False;both;0;Santa Cecília;pharmacy;9288.0;9288.0;0.0;1.0;9288.0
13_levy_off_flood_both;13;False;both;0;Santa Cecília;restaurant;37120.0;37120.0;0.0;1.0;37120.0
13_levy_off_flood_both;13;False;both;0;Santana;marketplace;142352.0;142352.0;0.0;1.0;142352.0
13_levy_off_flood_both;13;False;both;0;Santana;pharmacy;35576.0;35576.0;0.0;1.0;35576.0
13_levy_off_flood_both;13;False;both;0;Santana;restaurant;142352.0;142352.0;0.0;1.0;142352.0
13_levy_on_flood_none;13;True;none;0;Azenha;marketplace;96512.0;96512.0;0.0;1.0;96512.0
13_levy_on_flood_none;13;True;none;0;Azenha;pharmacy;24144.0;24144.0;0.0;1.0;24144.0
13_levy_on_flood_none;13;True;none;0;Azenha;restaurant;96512.0;96512.0;0.0;1.0;96512.0
13_levy_on_flood_none;13;True;none;0;Bom Fim;marketplace;81280.0;81280.0;0.0;1.0;81280.0
13_levy_on_flood_none;13;True;none;0;Bom Fim;pharmacy;20320.0;20320.0;0.0;1.0;20320.0
13_levy_on_flood_none;13;True;none;0;Bom Fim;restaurant;81280.0;81280.0;0.0;1.0;81280.0
13_levy_on_flood_none;13;True;none;0;Centro Histórico;marketplace;244552.0;244552.0;0.0;1.0;244552.0
13_levy_on_flood_none;13;True;none;0;Centro Histórico;pharmacy;61128.0;61128.0;0.0;1.0;61128.0
13_levy_on_flood_none;13;True;none;0;Centro Histórico;restaurant;244552.0;244552.0;0.0;1.0;244552.0
13_levy_on_flood_none;13;True;none;0;Cidade Baixa;marketplace;104112.0;104112.0;0.0;1.0;104112.0
13_levy_on_flood_none;13;True;none;0;Cidade Baixa;pharmacy;26024.0;26024.0;0.0;1.0;26024.0
13_levy_on_flood_none;13;True;none;0;Cidade Baixa;restaurant;104112.0;104112.0;0.0;1.0;104112.0
13_levy_on_flood_none;13;True;none;0;Farroupilha;marketplace;6192.0;6192.0;0.0;1.0;6192.0
13_levy_on_flood_none;13;True;none;0;Farroupilha;pharmacy;1552.0;1552.0;0.0;1.0;1552.0
13_levy_on_flood_none;13;True;none;0;Farroupilha;restaurant;6192.0;6192.0;0.0;1.0;6192.0
13_levy_on_flood_none;13;True;none;0;Floresta;marketplace;70384.0;70384.0;0.0;1.0;70384.0
13_levy_on_flood_none;13;True;none;0;Floresta;pharmacy;17576.0;17576.0;0.0;1.0;17576.0
13_levy_on_flood_none;13;True;none;0;Floresta;restaurant;70384.0;70384.0;0.0;1.0;70384.0
13_levy_on_flood_none;13;True;none;0;Independência;marketplace;55080.0;55080.0;0.0;1.0;55080.0
13_levy_on_flood_none;13;True;none;0;Independência;pharmacy;13752.0;13752.0;0.0;1.0;13752.0
13_levy_on_flood_none;13;True;none;0;Independência;restaurant;55080.0;55080.0;0.0;1.0;55080.0
13_levy_on_flood_none;13;True;none;0;Moinhos de Vento;marketplace;79960.0;79960.0;0.0;1.0;79960.0
13_levy_on_flood_none;13;True;none;0;Moinhos de Vento;pharmacy;20000.0;20000.0;0.0;1.0;20000.0
13_levy_on_flood_none;13;True;none;0;Moinhos de Vento;restaurant;79960.0;79960.0;0.0;1.0;79960.0
13_levy_on_flood_none;13;True;none;0;Praia de Belas;marketplace;12176.0;12176.0;0.0;1.0;12176.0
13_levy_on_flood_none;13;True;none;0;Praia de Belas;pharmacy;3048.0;3048.0;0.0;1.0;3048.0
13_levy_on_flood_none;13;True;none;0;Praia de Belas;restaurant;12176.0;12176.0;0.0;1.0;12176.0
13_levy_on_flood_none;13;True;none;0;Rio Branco;marketplace;125680.0;125680.0;0.0;1.0;125680.0
13_levy_on_flood_none;13;True;none;0;Rio Branco;pharmacy;31408.0;31408.0;0.0;1.0;31408.0
13_levy_on_flood_none;13;True;none;0;Rio Branco;restaurant;125680.0;125680.0;0.0;1.0;125680.0
13_levy_on_flood_none;13;True;none;0;Santa Cecília;marketplace;37120.0;37120.0;0.0;1.0;37120.0
13_levy_on_flood_none;13;True;none;0;Santa Cecília;pharmacy;9288.0;9288.0;0.0;1.0;9288.0
13_levy_on_flood_none;13;True;none;0;Santa Cecília;restaurant;37120.0;37120.0;0.0;1.0;37120.0
13_levy_on_flood_none;13;True;none;0;Santana;marketplace;142352.0;142352.0;0.0;1.0;142352.0
13_levy_on_flood_none;13;True;none;0;Santana;pharmacy;35576.0;35576.0;0.0;1.0;35576.0
13_levy_on_flood_none;13;True;none;0;Santana;restaurant;142352.0;142352.0;0.0;1.0;142352.0
13_levy_on_flood_none;13;True;none;1;Azenha;marketplace;96512.0;96512.0;0.0;1.0;96512.0
13_levy_on_flood_none;13;True;none;1;Azenha;pharmacy;24144.0;24144.0;0.0;1.0;24144.0
13_levy_on_flood_none;13;True;none;1;Azenha;restaurant;96512.0;96512.0;0.0;1.0;96512.0
13_levy_on_flood_none;13;True;none;1;Bom Fim;marketplace;81280.0;81280.0;0.0;1.0;81280.0
13_levy_on_flood_none;13;True;none;1;Bom Fim;pharmacy;20320.0;20320.0;0.0;1.0;20320.0
13_levy_on_flood_none;13;True;none;1;Bom Fim;restaurant;81280.0;81280.0;0.0;1.0;81280.0
13_levy_on_flood_none;13;True;none;1;Centro Histórico;marketplace;244552.0;244552.0;0.0;1.0;244552.0
13_levy_on_flood_none;13;True;none;1;Centro Histórico;pharmacy;61128.0;61128.0;0.0;1.0;61128.0
13_levy_on_flood_none;13;True;none;1;Centro Histórico;restaurant;244552.0;244552.0;0.0;1.0;244552.0
13_levy_on_flood_none;13;True;none;1;Cidade Baixa;marketplace;104112.0;104112.0;0.0;1.0;104112.0
13_levy_on_flood_none;13;True;none;1;Cidade Baixa;pharmacy;26024.0;26024.0;0.0;1.0;26024.0
13_levy_on_flood_none;13;True;none;1;Cidade Baixa;restaurant;104112.0;104112.0;0.0;1.0;104112.0
13_levy_on_flood_none;13;True;none;1;Farroupilha;marketplace;6192.0;6192.0;0.0;1.0;6192.0
13_levy_on_flood_none;13;True;none;1;Farroupilha;pharmacy;1552.0;1552.0;0.0;1.0;1552.0
13_levy_on_flood_none;13;True;none;1;Farroupilha;restaurant;6192.0;6192.0;0.0;1.0;6192.0
13_levy_on_flood_none;13;True;none;1;Floresta;marketplace;70384.0;70384.0;0.0;1.0;70384.0
13_levy_on_flood_none;13;True;none;1;Floresta;pharmacy;17576.0;17576.0;0.0;1.0;17576.0
13_levy_on_flood_none;13;True;none;1;Floresta;restaurant;70384.0;70384.0;0.0;1.0;70384.0
13_levy_on_flood_none;13;True;none;1;Independência;marketplace;55080.0;55080.0;0.0;1.0;55080.0
13_levy_on_flood_none;13;True;none;1;Independência;pharmacy;13752.0;13752.0;0.0;1.0;13752.0
13_levy_on_flood_none;13;True;none;1;Independência;restaurant;55080.0;55080.0;0.0;1.0;55080.0
13_levy_on_flood_none;13;True;none;1;Moinhos de Vento;marketplace;79960.0;79960.0;0.0;1.0;79960.0
13_levy_on_flood_none;13;True;none;1;Moinhos de Vento;pharmacy;20000.0;20000.0;0.0;1.0;20000.0
13_levy_on_flood_none;13;True;none;1;Moinhos de Vento;restaurant;79960.0;79960.0;0.0;1.0;79960.0
13_levy_on_flood_none;13;True;none;1;Praia de Belas;marketplace;12176.0;12176.0;0.0;1.0;12176.0
13_levy_on_flood_none;13;True;none;1;Praia de Belas;pharmacy;3048.0;3048.0;0.0;1.0;3048.0
13_levy_on_flood_none;13;True;none;1;Praia de Belas;restaurant;12176.0;12176.0;0.0;1.0;12176.0
13_levy_on_flood_none;13;True;none;1;Rio Branco;marketplace;125680.0;125680.0;0.0;1.0;125680.0
13_levy_on_flood_none;13;True;none;1;Rio Branco;pharmacy;31408.0;31408.0;0.0;1.0;31408.0
13_levy_on_flood_none;13;True;none;1;Rio Branco;restaurant;125680.0;125680.0;0.0;1.0;125680.0
13_levy_on_flood_none;13;True;none;1;Santa Cecília;marketplace;37120.0;37120.0;0.0;1.0;37120.0
13_levy_on_flood_none;13;True;none;1;Santa Cecília;pharmacy;9288.0;9288.0;0.0;1.0;9288.0
13_levy_on_flood_none;13;True;none;1;Santa Cecília;restaurant;37120.0;37120.0;0.0;1.0;37120.0
13_levy_on_flood_none;13;True;none;1;Santana;marketplace;142352.0;142352.0;0.0;1.0;142352.0
13_levy_on_flood_none;13;True;none;1;Santana;pharmacy;35576.0;35576.0;0.0;1.0;35576.0
13_levy_on_flood_none;13;True;none;1;Santana;restaurant;142352.0;142352.0;0.0;1.0;142352.0
13_levy_on_flood_none;13;True;none;2;Azenha;marketplace;96512.0;96512.0;0.0;1.0;96512.0
13_levy_on_flood_none;13;True;none;2;Azenha;pharmacy;24144.0;24144.0;0.0;1.0;24144.0
13_levy_on_flood_none;13;True;none;2;Azenha;restaurant;96512.0;96512.0;0.0;1.0;96512.0
13_levy_on_flood_none;13;True;none;2;Bom Fim;marketplace;81280.0;81280.0;0.0;1.0;81280.0
13_levy_on_flood_none;13;True;none;2;Bom Fim;pharmacy;20320.0;20320.0;0.0;1.0;20320.0
13_levy_on_flood_none;13;True;none;2;Bom Fim;restaurant;81280.0;81280.0;0.0;1.0;81280.0
13_levy_on_flood_none;13;True;none;2;Centro Histórico;marketplace;244552.0;244552.0;0.0;1.0;244552.0
13_levy_on_flood_none;13;True;none;2;Centro Histórico;pharmacy;61128.0;61128.0;0.0;1.0;61128.0
13_levy_on_flood_none;13;True;none;2;Centro Histórico;restaurant;244552.0;244552.0;0.0;1.0;244552.0
13_levy_on_flood_none;13;True;none;2;Cidade Baixa;marketplace;104112.0;104112.0;0.0;1.0;104112.0
13_levy_on_flood_none;13;True;none;2;Cidade Baixa;pharmacy;26024.0;26024.0;0.0;1.0;26024.0
13_levy_on_flood_none;13;True;none;2;Cidade Baixa;restaurant;104112.0;104112.0;0.0;1.0;104112.0
13_levy_on_flood_none;13;True;none;2;Farroupilha;marketplace;6192.0;6192.0;0.0;1.0;6192.0
13_levy_on_flood_none;13;True;none;2;Farroupilha;pharmacy;1552.0;1552.0;0.0;1.0;1552.0
13_levy_on_flood_none;13;True;none;2;Farroupilha;restaurant;6192.0;6192.0;0.0;1.0;6192.0
13_levy_on_flood_none;13;True;none;2;Floresta;marketplace;70384.0;70384.0;0.0;1.0;70384.0
13_levy_on_flood_none;13;True;none;2;Floresta;pharmacy;17576.0;17576.0;0.0;1.0;17576.0
13_levy_on_flood_none;13;True;none;2;Floresta;restaurant;70384.0;70384.0;0.0;1.0;70384.0
13_levy_on_flood_none;13;True;none;2;Independência;marketplace;55080.0;55080.0;0.0;1.0;55080.0
13_levy_on_flood_none;13;True;none;2;Independência;pharmacy;13752.0;13752.0;0.0;1.0;13752.0
13_levy_on_flood_none;13;True;none;2;Independência;restaurant;55080.0;55080.0;0.0;1.0;55080.0
13_levy_on_flood_none;13;True;none;2;Moinhos de Vento;marketplace;79960.0;79960.0;0.0;1.0;79960.0
13_levy_on_flood_none;13;True;none;2;Moinhos de Vento;pharmacy;20000.0;20000.0;0.0;1.0;20000.0
13_levy_on_flood_none;13;True;none;2;Moinhos de Vento;restaurant;79960.0;79960.0;0.0;1.0;79960.0
13_levy_on_flood_none;13;True;none;2;Praia de Belas;marketplace;12176.0;12176.0;0.0;1.0;12176.0
13_levy_on_flood_none;13;True;none;2;Praia de Belas;pharmacy;3048.0;3048.0;0.0;1.0;3048.0
