Simulation Frame;Aberta dos Morros;Agronomia;Anchieta;Arquipélago;Auxiliadora;Azenha;Bela Vista;Belém Novo;Belém Velho;Boa Vista;Boa Vista do Sul;Bom Fim;Bom Jesus;Camaquã;Campo Novo;Cascata;Cavalhada;Centro;Chácara das Pedras;Chapéu do Sol;Cidade Baixa;Coronel Aparício Borges;Costa e Silva;Cristal;Cristo Redentor;Espírito Santo;Extrema;Farrapos;Farroupilha;Floresta;Glória;Guarujá;Higienópolis;Hípica;Humaitá;Independência;Ipanema;Jardim Botânico;Jardim Carvalho;Jardim do Salso;Jardim Dona Leopoldina;Jardim Europa;Jardim Floresta;Jardim Isabel;Jardim Itu;Jardim Lindóia;Jardim Sabará;Jardim São Pedro;Lageado;Lami;Lomba do Pinheiro;Mário Quintana;Medianeira;Menino Deus;Moinhos de Vento;MontSerrat;Morro Santana;Navegantes;Nonoai;Parque Santa Fé;Partenon;Passo DAreia;Passo das Pedras;Pedra Redonda;Petrópolis;Pitinga;Ponta Grossa;Praia de Belas;Restinga;Rio Branco;Rubem Berta;Santa Cecília;Santa Maria Goretti;Santa Rosa de Lima;Santa Tereza;Santana;Santo Antônio;São Caetano;São Geraldo;São João;São Sebastião;Sarandi;Serraria;Sétimo Céu;Teresópolis;Três Figueiras;Tristeza;Vila Assunção;Vila Conceição;Vila Ipiranga;Vila Jardim;Vila João Pessoa;Vila Nova;Vila São José
13;95;67;51;95;95;95;95;95;95;95;23;95;95;95;95;95;95;95;91;53;95;95;95;95;95;95;13;95;28;95;95;95;95;95;95;93;95;95;95;86;95;57;65;59;94;91;94;68;94;94;94;94;94;94;94;94;94;76;94;94;94;94;94;15;94;94;94;51;94;94;94;87;66;94;94;94;94;6;93;93;89;93;93;14;93;73;93;91;14;93;93;93;93;93
14;95;67;51;95;95;95;95;95;95;95;23;95;95;95;95;95;95;95;91;53;95;95;95;95;95;95;13;95;28;95;95;95;95;95;95;93;95;95;95;86;95;57;65;59;94;91;94;68;94;94;94;94;94;94;94;94;94;76;94;94;94;94;94;15;94;94;94;51;94;94;94;87;66;94;94;94;94;6;93;93;89;93;93;14;93;73;93;91;14;93;93;93;93;93
15;95;67;51;95;95;95;95;95;95;95;23;95;95;95;95;95;95;95;91;53;95;95;95;95;95;95;13;95;28;95;95;95;95;95;95;93;95;95;95;86;95;57;65;59;94;91;94;68;94;94;94;94;94;94;94;94;94;76;94;94;94;94;94;15;94;94;94;51;94;94;94;87;66;94;94;94;94;6;93;93;89;93;93;14;93;73;93;91;14;93;93;93;93;93
16;95;67;51;95;95;95;95;95;95;95;23;95;95;95;95;95;95;95;91;53;95;95;95;95;95;95;13;95;28;95;95;95;95;95;95;93;95;95;95;86;95;57;65;59;94;91;94;68;94;94;94;94;94;94;94;94;94;76;94;94;94;94;94;15;94;94;94;51;94;94;94;87;66;94;94;94;94;6;93;93;89;93;93;14;93;73;93;91;14;93;93;93;93;93
17;95;67;51;95;95;95;95;95;95;95;23;95;95;95;95;95;95;95;91;53;95;95;95;95;95;95;13;95;28;95;95;95;95;95;95;93;95;95;95;86;95;57;65;59;94;91;94;68;94;94;94;94;94;94;94;94;94;76;94;94;94;94;94;15;94;94;94;51;94;94;94;87;66;94;94;94;94;6;93;93;89;93;93;14;93;73;93;91;14;93;93;93;93;93
18;95;67;51;95;95;95;95;95;95;95;23;95;95;95;95;95;95;95;91;53;95;95;95;95;95;95;13;95;28;95;95;95;95;95;95;93;95;95;95;86;95;57;65;59;94;91;94;68;94;94;94;94;94;94;94;94;94;76;94;94;94;94;94;15;94;94;94;51;94;94;94;87;66;94;94;94;94;6;93;93;89;93;93;14;93;73;93;91;14;93;93;93;93;93
19;95;67;51;95;95;95;95;95;95;95;23;95;95;95;95;95;95;95;91;53;95;95;95;95;95;95;13;95;28;95;95;95;95;95;95;93;95;95;95;86;95;57;65;59;94;91;94;68;94;94;94;94;94;94;94;94;94;76;94;94;94;94;94;15;94;94;94;51;94;94;94;87;66;94;94;94;94;6;93;93;89;93;93;14;93;73;93;91;14;93;93;93;93;93
20;95;67;51;95;95;95;95;95;95;95;23;95;95;95;95;95;95;95;91;53;95;95;95;95;95;95;13;95;29;95;95;95;95;95;95;93;95;95;95;86;95;57;65;59;94;91;94;68;94;94;94;94;94;94;94;94;94;76;94;94;94;94;94;16;94;94;94;51;94;94;94;87;66;94;94;94;94;6;93;93;89;93;93;15;93;73;93;91;14;93;93;93;93;93
21;95;67;51;95;95;95;95;95;95;95;23;95;95;95;95;95;95;95;91;53;95;95;95;95;95;95;13;95;29;95;95;95;95;95;95;93;95;95;95;86;95;57;65;59;94;91;94;68;94;94;94;94;94;94;94;94;94;76;94;94;94;94;94;16;94;94;94;51;94;94;94;87;66;94;94;94;94;6;93;93;89;93;93;15;93;73;93;91;14;93;93;93;93;93
22;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
23;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
24;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
25;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
26;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
27;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
28;95;67;49;95;95;95;95;95;95;95;22;95;95;95;95;95;95;95;90;50;95;95;95;95;95;95;12;95;16;95;95;95;95;95;95;93;95;95;95;86;95;57;65;50;94;90;94;68;94;94;94;94;94;94;94;94;94;75;94;94;94;94;94;15;94;94;94;50;94;94;94;86;66;94;94;94;94;6;93;93;89;93;93;15;93;73;93;91;14;93;93;93;93;93
29;95;67;49;95;95;95;95;95;95;95;22;95;95;95;95;95;95;95;90;50;95;95;95;95;95;95;12;95;16;95;95;95;95;95;95;93;95;95;95;86;95;57;65;50;94;90;94;68;94;94;94;94;94;94;94;94;94;75;94;94;94;94;94;15;94;94;94;50;94;94;94;86;66;94;94;94;94;6;93;93;89;93;93;15;93;73;93;91;14;93;93;93;93;93
30;95;67;50;95;95;95;95;95;95;95;22;95;95;95;95;95;95;95;91;53;95;95;95;95;95;95;13;95;28;95;95;95;95;95;95;93;95;95;95;86;95;57;65;59;94;91;94;68;94;94;94;94;94;94;94;94;94;76;94;94;94;94;94;15;94;94;94;51;94;94;94;87;66;94;94;94;94;6;93;93;89;93;93;14;93;73;93;91;14;93;93;93;93;93
31;95;67;50;95;95;95;95;95;95;95;22;95;95;95;95;95;95;95;91;53;95;95;95;95;95;95;13;95;28;95;95;95;95;95;95;93;95;95;95;86;95;57;65;59;94;91;94;68;94;94;94;94;94;94;94;94;94;76;94;94;94;94;94;15;94;94;94;51;94;94;94;87;66;94;94;94;94;6;93;93;89;93;93;14;93;73;93;91;14;93;93;93;93;93
32;95;67;51;95;95;95;95;95;95;95;23;95;95;95;95;95;95;95;91;53;95;95;95;95;95;95;13;95;28;95;95;95;95;95;95;93;95;95;95;86;95;57;65;59;94;91;94;68;94;94;94;94;94;94;94;94;94;76;94;94;94;94;94;15;94;94;94;51;94;94;94;87;66;94;94;94;94;6;93;93;89;93;93;14;93;73;93;91;14;93;93;93;93;93
33;95;67;51;95;95;95;95;95;95;95;23;95;95;95;95;95;95;95;91;53;95;95;95;95;95;95;13;95;28;95;95;95;95;95;95;93;95;95;95;86;95;57;65;59;94;91;94;68;94;94;94;94;94;94;94;94;94;76;94;94;94;94;94;15;94;94;94;51;94;94;94;87;66;94;94;94;94;6;93;93;89;93;93;14;93;73;93;91;14;93;93;93;93;93
34;95;67;51;95;95;95;95;95;95;95;23;95;95;95;95;95;95;95;91;53;95;95;95;95;95;95;13;95;28;95;95;95;95;95;95;93;95;95;95;86;95;57;65;59;94;91;94;68;94;94;94;94;94;94;94;94;94;76;94;94;94;94;94;15;94;94;94;51;94;94;94;87;66;94;94;94;94;6;93;93;89;93;93;14;93;73;93;91;14;93;93;93;93;93
35;95;67;51;95;95;95;95;95;95;95;23;95;95;95;95;95;95;95;91;53;95;95;95;95;95;95;13;95;28;95;95;95;95;95;95;93;95;95;95;86;95;57;65;59;94;91;94;68;94;94;94;94;94;94;94;94;94;76;94;94;94;94;94;15;94;94;94;51;94;94;94;87;66;94;94;94;94;6;93;93;89;93;93;14;93;73;93;91;14;93;93;93;93;93
36;95;67;51;95;95;95;95;95;95;95;23;95;95;95;95;95;95;95;91;53;95;95;95;95;95;95;13;95;28;95;95;95;95;95;95;93;95;95;95;86;95;57;65;59;94;91;94;68;94;94;94;94;94;94;94;94;94;76;94;94;94;94;94;15;94;94;94;51;94;94;94;87;66;94;94;94;94;6;93;93;89;93;93;14;93;73;93;91;14;93;93;93;93;93
37;95;67;51;95;95;95;95;95;95;95;23;95;95;95;95;95;95;95;91;53;95;95;95;95;95;95;13;95;28;95;95;95;95;95;95;93;95;95;95;86;95;57;65;59;94;91;94;68;94;94;94;94;94;94;94;94;94;76;94;94;94;94;94;15;94;94;94;51;94;94;94;87;66;94;94;94;94;6;93;93;89;93;93;14;93;73;93;91;14;93;93;93;93;93
38;95;67;51;95;95;95;95;95;95;95;23;95;95;95;95;95;95;95;91;53;95;95;95;95;95;95;13;95;28;95;95;95;95;95;95;93;95;95;95;86;95;57;65;59;94;91;94;68;94;94;94;94;94;94;94;94;94;76;94;94;94;94;94;15;94;94;94;51;94;94;94;87;66;94;94;94;94;6;93;93;89;93;93;14;93;73;93;91;14;93;93;93;93;93
39;95;67;51;95;95;95;95;95;95;95;23;95;95;95;95;95;95;95;91;53;95;95;95;95;95;95;13;95;28;95;95;95;95;95;95;93;95;95;95;86;95;57;65;59;94;91;94;68;94;94;94;94;94;94;94;94;94;76;94;94;94;94;94;15;94;94;94;51;94;94;94;87;66;94;94;94;94;6;93;93;89;93;93;14;93;73;93;91;14;93;93;93;93;93
40;95;67;51;95;95;95;95;95;95;95;23;95;95;95;95;95;95;95;91;53;95;95;95;95;95;95;13;95;28;95;95;95;95;95;95;93;95;95;95;86;95;57;65;59;94;91;94;68;94;94;94;94;94;94;94;94;94;76;94;94;94;94;94;15;94;94;94;51;94;94;94;87;66;94;94;94;94;6;93;93;89;93;93;14;93;73;93;91;14;93;93;93;93;93
41;95;67;51;95;95;95;95;95;95;95;23;95;95;95;95;95;95;95;91;53;95;95;95;95;95;95;13;95;28;95;95;95;95;95;95;93;95;95;95;86;95;57;65;59;94;91;94;68;94;94;94;94;94;94;94;94;94;76;94;94;94;94;94;15;94;94;94;51;94;94;94;87;66;94;94;94;94;6;93;93;89;93;93;14;93;73;93;91;14;93;93;93;93;93
42;95;67;51;95;95;95;95;95;95;95;23;95;95;95;95;95;95;95;91;53;95;95;95;95;95;95;13;95;28;95;95;95;95;95;95;93;95;95;95;86;95;57;65;59;94;91;94;68;94;94;94;94;94;94;94;94;94;76;94;94;94;94;94;15;94;94;94;51;94;94;94;87;66;94;94;94;94;6;93;93;89;93;93;14;93;73;93;91;14;93;93;93;93;93
43;95;67;51;95;95;95;95;95;95;95;23;95;95;95;95;95;95;95;91;53;95;95;95;95;95;95;13;95;28;95;95;95;95;95;95;93;95;95;95;86;95;57;65;59;94;91;94;68;94;94;94;94;94;94;94;94;94;76;94;94;94;94;94;15;94;94;94;51;94;94;94;87;66;94;94;94;94;6;93;93;89;93;93;14;93;73;93;91;14;93;93;93;93;93
44;95;67;51;95;95;95;95;95;95;95;23;95;95;95;95;95;95;95;91;53;95;95;95;95;95;95;13;95;29;95;95;95;95;95;95;93;95;95;95;86;95;57;65;59;94;91;94;68;94;94;94;94;94;94;94;94;94;76;94;94;94;94;94;16;94;94;94;51;94;94;94;87;66;94;94;94;94;6;93;93;89;93;93;15;93;73;93;91;14;93;93;93;93;93
45;95;67;51;95;95;95;95;95;95;95;23;95;95;95;95;95;95;95;91;53;95;95;95;95;95;95;13;95;29;95;95;95;95;95;95;93;95;95;95;86;95;57;65;59;94;91;94;68;94;94;94;94;94;94;94;94;94;76;94;94;94;94;94;16;94;94;94;51;94;94;94;87;66;94;94;94;94;6;93;93;89;93;93;15;93;73;93;91;14;93;93;93;93;93
46;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
47;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
