Frame;Hour;Day;Node;Total;Locals;Outsiders;dTotals;dLocals;dOutsiders
0;0;0;Aberta dos Morros//home;7028;7028;0;-118;-118;0
0;0;0;Aberta dos Morros//work;0;0;0;0;0;0
0;0;0;Aberta dos Morros//school;0;0;0;0;0;0
0;0;0;Aberta dos Morros//marketplace;0;0;0;0;0;0
0;0;0;Aberta dos Morros//pharmacy;85;0;85;85;0;85
0;0;0;Aberta dos Morros//gas_station;0;0;0;0;0;0
0;0;0;Agronomia//home;2241;0;2241;-90;-2331;2241
0;0;0;Agronomia//work;0;0;0;0;0;0
0;0;0;Agronomia//school;0;0;0;0;0;0
0;0;0;Agronomia//marketplace;0;0;0;0;0;0
0;0;0;Agronomia//pharmacy;88;0;88;88;0;88
0;0;0;Agronomia//gas_station;7;0;7;7;0;7
0;0;0;Anchieta//home;1933;0;1933;-91;-2024;1933
0;0;0;Anchieta//work;0;0;0;0;0;0
0;0;0;Anchieta//school;0;0;0;0;0;0
0;0;0;Anchieta//marketplace;0;0;0;0;0;0
0;0;0;Anchieta//pharmacy;87;0;87;87;0;87
0;0;0;Anchieta//gas_station;4;0;4;4;0;4
0;0;0;Arquipélago//home;8244;0;8244;-86;-8330;8244
0;0;0;Arquipélago//work;0;0;0;0;0;0
0;0;0;Arquipélago//school;0;0;0;0;0;0
0;0;0;Arquipélago//marketplace;0;0;0;0;0;0
0;0;0;Arquipélago//pharmacy;88;0;88;88;0;88
0;0;0;Arquipélago//gas_station;4;0;4;4;0;4
0;0;0;Auxiliadora//home;9545;0;9545;-138;-9683;9545
0;0;0;Auxiliadora//work;0;0;0;0;0;0
0;0;0;Auxiliadora//school;0;0;0;0;0;0
0;0;0;Auxiliadora//marketplace;0;0;0;0;0;0
0;0;0;Auxiliadora//pharmacy;70;2;68;70;2;68
0;0;0;Auxiliadora//gas_station;0;0;0;0;0;0
0;0;0;Azenha//home;13598;0;13598;-206;-13804;13598
0;0;0;Azenha//work;0;0;0;0;0;0
0;0;0;Azenha//school;0;0;0;0;0;0
0;0;0;Azenha//marketplace;0;0;0;0;0;0
0;0;0;Azenha//pharmacy;0;0;0;0;0;0
0;0;0;Azenha//gas_station;0;0;0;0;0;0
0;0;0;Azenha//hospital;134;0;134;134;0;134
0;0;0;Azenha//shopping_mall;0;0;0;0;0;0
0;0;0;Bela Vista//home;11643;0;11643;-144;-11787;11643
0;0;0;Bela Vista//work;0;0;0;0;0;0
0;0;0;Bela Vista//school;0;0;0;0;0;0
0;0;0;Bela Vista//marketplace;0;0;0;0;0;0
0;0;0;Bela Vista//pharmacy;67;0;67;67;0;67
0;0;0;Bela Vista//gas_station;0;0;0;0;0;0
0;0;0;Belém Novo//home;9990;0;9990;-110;-10100;9990
0;0;0;Belém Novo//work;0;0;0;0;0;0
0;0;0;Belém Novo//school;0;0;0;0;0;0
0;0;0;Belém Novo//marketplace;0;0;0;0;0;0
0;0;0;Belém Novo//pharmacy;89;1;88;89;1;88
0;0;0;Belém Novo//gas_station;6;0;6;6;0;6
0;0;0;Belém Velho//home;10742;0;10742;-93;-10835;10742
0;0;0;Belém Velho//work;0;0;0;0;0;0
0;0;0;Belém Velho//school;0;0;0;0;0;0
0;0;0;Belém Velho//marketplace;0;0;0;0;0;0
0;0;0;Belém Velho//pharmacy;87;0;87;87;0;87
0;0;0;Belém Velho//gas_station;2;0;2;2;0;2
0;0;0;Boa Vista//home;9923;0;9923;-130;-10053;9923
0;0;0;Boa Vista//work;0;0;0;0;0;0
0;0;0;Boa Vista//school;0;0;0;0;0;0
0;0;0;Boa Vista//marketplace;0;0;0;0;0;0
0;0;0;Boa Vista//pharmacy;77;0;77;77;0;77
0;0;0;Boa Vista//gas_station;0;0;0;0;0;0
0;0;0;Boa Vista do Sul//home;2194;0;2194;-115;-2309;2194
0;0;0;Boa Vista do Sul//work;0;0;0;0;0;0
0;0;0;Boa Vista do Sul//school;0;0;0;0;0;0
0;0;0;Boa Vista do Sul//marketplace;0;0;0;0;0;0
0;0;0;Boa Vista do Sul//pharmacy;88;1;87;88;1;87
0;0;0;Boa Vista do Sul//gas_station;2;0;2;2;0;2
0;0;0;Bom Fim//home;11428;0;11428;-165;-11593;11428
0;0;0;Bom Fim//work;0;0;0;0;0;0
