Frame;Hour;Day;Region;Total;Locals;Outsiders;dTotals;dLocals;dOutsiders
0;0;0;Azenha;13804;13804;0;0;0;0
0;0;0;Bom Fim;11593;11593;0;0;0;0
0;0;0;Centro Histórico;39154;39154;0;0;0;0
0;0;0;Cidade Baixa;15379;15379;0;0;0;0
0;0;0;Farroupilha;961;961;0;0;0;0
0;0;0;Floresta;11596;11596;0;0;0;0
0;0;0;Independência;8112;8112;0;0;0;0
0;0;0;Menino Deus;31650;31650;0;0;0;0
0;0;0;Moinhos de Vento;11937;11937;0;0;0;0
0;0;0;Praia de Belas;2281;2281;0;0;0;0
0;0;0;Rio Branco;17531;17531;0;0;0;0
0;0;0;Santa Cecília;5768;5768;0;0;0;0
0;0;0;Santana;20723;20723;0;0;0;0
1;1;0;Azenha;14054;13504;550;250;-300;550
1;1;0;Bom Fim;11643;11243;400;50;-350;400
1;1;0;Centro Histórico;38454;38154;300;-700;-1000;300
1;1;0;Cidade Baixa;15129;14829;300;-250;-550;300
1;1;0;Farroupilha;1561;961;600;600;0;600
1;1;0;Floresta;11446;11346;100;-150;-250;100
1;1;0;Independência;8712;7962;750;600;-150;750
1;1;0;Menino Deus;30600;30200;400;-1050;-1450;400
1;1;0;Moinhos de Vento;11737;11487;250;-200;-450;250
1;1;0;Praia de Belas;2981;2231;750;700;-50;750
1;1;0;Rio Branco;17531;16981;550;0;-550;550
1;1;0;Santa Cecília;5918;5668;250;150;-100;250
1;1;0;Santana;20723;20373;350;0;-350;350
2;2;0;Azenha;14654;13404;1250;600;-100;700
2;2;0;Bom Fim;11793;10643;1150;150;-600;750
2;2;0;Centro Histórico;37954;37354;600;-500;-800;300
2;2;0;Cidade Baixa;14779;14179;600;-350;-650;300
2;2;0;Farroupilha;2211;911;1300;650;-50;700
2;2;0;Floresta;11596;11296;300;150;-50;200
2;2;0;Independência;9112;7712;1400;400;-250;650
2;2;0;Menino Deus;29700;28900;800;-900;-1300;400
2;2;0;Moinhos de Vento;11487;11137;350;-250;-350;100
2;2;0;Praia de Belas;3481;2181;1300;500;-50;550
2;2;0;Rio Branco;16881;16181;700;-650;-800;150
2;2;0;Santa Cecília;6318;5418;900;400;-250;650
2;2;0;Santana;20523;19823;700;-200;-550;350
3;3;0;Azenha;15004;13254;1750;350;-150;500
3;3;0;Bom Fim;11743;10243;1500;-50;-400;350
3;3;0;Centro Histórico;37154;36354;800;-800;-1000;200
3;3;0;Cidade Baixa;14929;13729;1200;150;-450;600
3;3;0;Farroupilha;2761;911;1850;550;0;550
3;3;0;Floresta;11696;10996;700;100;-300;400
3;3;0;Independência;9362;7312;2050;250;-400;650
3;3;0;Menino Deus;29150;28050;1100;-550;-850;300
3;3;0;Moinhos de Vento;11487;10787;700;0;-350;350
3;3;0;Praia de Belas;3781;2081;1700;300;-100;400
3;3;0;Rio Branco;16381;15481;900;-500;-700;200
3;3;0;Santa Cecília;7018;5318;1700;700;-100;800
3;3;0;Santana;20023;19273;750;-500;-550;50
4;4;0;Azenha;14754;12854;1900;-250;-400;150
4;4;0;Bom Fim;11893;9943;1950;150;-300;450
