Simulation Frame;Aberta dos Morros;Agronomia;Anchieta;Arquipélago;Auxiliadora;Azenha;Bela Vista;Belém Novo;Belém Velho;Boa Vista;Boa Vista do Sul;Bom Fim;Bom Jesus;Camaquã;Campo Novo;Cascata;Cavalhada;Centro Histórico;Chácara das Pedras;Chapéu do Sol;Cidade Baixa;Cel. Aparício Borges;Costa e Silva;Cristal;Cristo Redentor;Espírito Santo;Extrema;Farrapos;Farroupilha;Floresta;Glória;Guarujá;Higienópolis;Hípica;Humaitá;Independência;Ipanema;Jardim Botânico;Jardim Carvalho;Jardim do Salso;Jardim Leopoldina;Jardim Europa;Jardim Floresta;Jardim Isabel;Jardim Itú;Jardim Lindóia;Jardim Sabará;Jardim São Pedro;Lageado;Lami;Lomba do Pinheiro;Mário Quintana;Medianeira;Menino Deus;Moinhos de Vento;Mont'Serrat;Morro Santana;Navegantes;Nonoai;Parque Santa Fé;Partenon;Passo D'Areia;Passo das Pedras;Pedra Redonda;Petrópolis;Pitinga;Ponta Grossa;Praia de Belas;Restinga;Rio Branco;Rubem Berta;Santa Cecília;Santa Maria Goretti;Santa Rosa de Lima;Santa Tereza;Santana;Santo Antônio;São Caetano;São Geraldo;São João;São Sebastião;Sarandi;Serraria;Sétimo Céu;Teresópolis;Três Figueiras;Tristeza;Vila Assunção;Vila Conceição;Vila Ipiranga;Vila Jardim;Vila João Pessoa;Vila Nova;São José
0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;2;3;2;1;4;1;1;2;2;8;1;6;5;3;3;8;3;3;5;1;6;3;2;6;2;2;3;2;3;5;7;1;3;1;1;2;2;3;5;2;6;3;2;4;3;5;1;1;1;4;3;4;3;6;5;6;6;3;3;3;4;5;3;1;3;3;2;4;2;1;2;6;4;2;7;5;1;1;1;3;2;3;4;7;2;5;5;4;1;4;3;3;6;2
2;4;6;2;1;7;2;5;3;4;10;1;8;6;5;7;10;4;3;6;3;8;6;4;8;4;5;3;2;8;6;8;2;3;2;1;6;2;6;6;5;8;5;6;6;6;7;7;2;1;4;4;5;6;7;7;11;7;4;7;5;8;7;3;2;4;3;3;4;2;3;2;7;6;2;10;7;2;2;3;5;4;3;7;7;3;8;5;4;2;6;6;6;8;4
3;5;8;2;1;7;6;8;5;4;12;3;10;8;5;10;10;4;4;7;5;12;9;6;12;4;5;3;2;8;10;10;3;3;5;3;9;2;8;8;7;10;7;6;6;6;8;8;2;2;4;4;5;9;7;8;13;7;6;7;7;13;10;6;6;8;7;3;5;2;5;5;7;8;3;12;7;2;5;4;12;6;5;7;10;6;9;7;5;2;9;9;7;10;5
4;7;10;2;2;8;9;10;5;5;13;3;10;10;5;10;10;6;5;9;8;12;11;6;13;5;5;3;2;9;10;13;5;4;6;5;9;4;11;9;9;12;10;9;7;7;10;13;4;3;5;5;7;10;8;10;14;7;6;10;9;14;12;6;7;8;7;4;8;3;9;7;7;10;4;13;8;4;5;6;13;6;5;9;11;6;9;7;6;5;11;9;9;11;5
5;8;11;2;3;10;10;12;5;7;14;5;10;11;8;12;11;9;7;9;8;12;11;7;14;5;5;3;5;11;10;14;7;4;7;7;10;6;12;11;9;12;11;9;7;8;10;15;5;4;5;7;8;11;9;10;15;10;7;11;10;14;14;6;9;8;7;4;9;3;10;7;7;11;7;13;9;4;5;7;14;7;5;9;11;6;9;9;6;6;11;11;9;13;8
6;8;12;2;3;10;10;14;6;8;15;6;10;12;10;12;11;9;7;10;9;12;11;10;15;6;5;3;8;12;10;15;7;4;8;7;11;6;15;12;9;12;11;11;8;8;12;19;5;6;5;7;9;11;9;12;15;10;7;13;10;14;16;6;10;9;9;7;9;4;11;7;8;13;9;13;9;5;5;8;14;8;5;9;13;6;10;10;7;7;12;12;9;14;8
7;9;12;2;3;10;11;14;7;10;16;6;10;12;11;13;11;9;7;11;10;12;11;10;16;7;6;3;8;14;12;16;12;4;9;8;11;6;16;13;10;13;12;12;9;8;12;20;5;6;6;7;9;12;9;12;15;10;8;15;10;14;16;6;11;12;9;8;10;5;12;7;11;13;9;14;9;7;6;10;18;9;5;9;13;6;11;10;8;8;13;12;12;17;9
8;17;18;6;7;18;16;22;8;20;21;12;19;21;22;22;14;21;11;21;14;19;20;18;30;13;12;8;11;23;18;27;17;15;22;12;23;16;22;21;25;25;15;22;12;17;20;26;9;14;11;14;13;22;22;22;30;16;15;27;19;20;22;21;17;22;17;13;14;10;18;12;16;24;14;23;21;15;7;19;26;17;9;13;21;14;19;17;13;14;20;21;24;29;14
9;18;19;7;7;20;17;23;8;20;21;12;20;21;22;22;15;24;12;22;14;19;20;19;30;13;13;8;11;23;18;28;17;16;22;13;23;16;23;21;27;26;15;22;12;17;21;26;9;16;11;14;14;22;24;22;30;17;15;29;19;21;23;22;17;24;17;13;14;10;20;13;17;24;14;23;21;16;8;19;28;17;9;13;21;16;19;18;14;15;20;22;25;29;14
